RU/UK,EN
фракції  блок петра порошенко ,fractions of a block of petra powder
донського,don
дніпропетровщиною,dnipropetrovsk region
парламентської асамблеї обсє,parliamentary assembly of the company
попаснянської райдержадміністрації,popasnia district state administration
олексій свєтіков,aleksey svetykov
будівлі прокуратури,buildings of the prosecutor's office
армії південного сходу,army of the southeast
місті сватовому,the city of sovetov
юрій юров,yurii yurov
попасній,goodbye
слобожанщини,sloboda settlements
півдні луганщини,in the south of lugansk region
міська організація партія регіонів,city organization party of regions
кву,kva
попаснянському районі,popasniansky district
сєверодонецьку,severodonetsk
обласної організації,regional organization
обласну прокуратуру,the regional prosecutor's office
комітету виборців україни,committee of voters of ukraine
краснодоні,krasnodon
анатолія науменка,anatolia nazhmanka
місті попасна,the city is safe
марія ципко,maria gypsy
красний,red
сценарії,scripts
повернись живим,come back alive
сергій хортів,sergey greyhound
областей одеська,areas of odessa
українцями,ukrainians
ізварино,with vitamin
ізварине,animal
старобільської районної адміністрації,starobilsky district administration
євробаченні,eurovision
павла губарєва,pavlova gubareva
дружківки,friends
лиман,estuary
британії,britain
рубіжне,rubezhnoe
валерій гнатенко,valerii gnatenko
пономарьов,ponomarev
авдіївці,avdeyevtsi
миколаївська,mykolaiv
анатолій гаркавий,anatolia ghaki
спецпідрозділу альфа,special unit alpha
харківська,kharkiv
рінатом ахметовим,rinat akhmetovym
добропілля активно,goodwill is active
батальйон україна,battalion of ukraine
новоросію,new year
андрій аксьонов,andrew axens
запорізька,zaporizhzhya
олег ляшко,oleg bead
райдержадміністрації сватівського району,rayon state administration of the svatov district
покровську,covert
херсонська,kherson
одесі,odessa
валентин казаков,valentine of the cossacks
центральну виборчу комісію,the central election commission
донецької областей,donetsk regions
центральної виборчої комісії україни,the central election commission of ukraine
afp,afp
святошинський суд,svyatoshinsky court
набу,nab
прокуратурі,prosecutor's office
олександра маринченка,oleksandra marinchenko
олега янішевського,oleg yanishevsky
сергія тамтури,sage tamur
павла аброськіна,pavla abrosskina
національній поліції,national police
генпрокуратури,prosecutor general's office
сергія зінченка,sergey zinchenko
нацполіції,national police
департаменту громадської безпеки,department of public safety
міністерства внутрішніх справ україни,ministry of the interior of ukraine
генеральна прокуратура,general prosecutor's office
сергій горбатюк,sergey gorbatyuk
небесною сотнею,hundreds of heaven
спецпідрозділу беркут,special unit golden eagle
білорус,belorussian
соледара,soledar
ярослав яйко,yaroslav yayko
парубій,you guy
геннадій друзенко,hennady druzenko
столиця україни,the capital of ukraine
жизневський,lifelike
вірменської,armenian
самооборони революції гідності,self-defense of the revolution of dignity
news corp australia,news corp australia
радбезі.,freebie
організація журналістських розслідувань correct,the organization of journalistic investigations is correct
міста курськ,kursk city
гу мвс в донецькій області,gu mvs in the donetsk region
ківа,kiwi
nikvesti.com,nikvesti.com
андрій цаплієнко,andriy tsaplianko
штабі ато,headquarters of ato
групи  днр,group of dnr
траси дебальцеве-світлодарськ,the road debalceve-lightdorsk
аллах акбар,allah akbar
майя косьянчич,maya kosyanchich
харківської ода і міськради,kharkiv ode and city council
напрямку аеропорту бельбек,airport direction belbek
клюєва,klyuev
портнов,tailors
олександра януковича,alexander yanukovych
писаренко,pysarenko
народний депутат,people's deputy
женеві,genuinely
швейцарії,switzerland
харківської області,kharkiv region
маріупольський української православної церкви іларіон,mariupol ukrainian orthodox church ilarion
петро перший,petro first
ігор калєтнік,games kaletnik
бригинець,brigient
авакова,avakova
сергій астахов,sergey astakhov
палацу спорту,sports palace
волновасі,waveover
вулиці банковій,street bank
лебедєв,lebedev
сергій курченко,sergey kurchenko
московського патріархату,moscow patriarchate
аеропорту донецька,donetsk airport
аеропорт донецька,donetsk airport
готель,hotel
балаклави,balaclava
московський патріархат,moscow patriarchate
сімферополі,simferopol
геннадія кернеса,hernandez kernes
кернеса,cornice
добкіна,dukkina
управління держохорони,department of state protection
міндоходів,of mines
кернес,kernes
валерій писаренко,valery pysarenko
федерацію,the federation
арсен аваков,arsen avakov
олександра клименка,alexandra klienka
олександра якименка,alexandra yakimenko
андрія клюєва,andriy klyuyev
віктор левицький,victor levitsky
свято-нікольському монастирі,st. nicholas monastery
захарченко,zaharchenko
павло лебедєв,pavlo lebedev
юрія чмиря,yurii chmyria
андрія портнова,andrew tailor
сергія власенка,serhiy's owner
калєтніка,kaletnikka
андрій портнов,andrew tailors
міністерство оборони україни,ministry of defence ukraine
міста,cities
краматорськом,kramatorsk
лідер,leader
колони,columns
сергій соболєв,sergey soboliev
повідомлення,message
колона,column
екстремісти,extremists
представники,representatives
а.лисенко,a.lysenko
юнокомунарівськ,youth communist
станиці-луганської,lugansk village
інформаційно-аналітичного центру рнбо,information and analytical center of rbo
міус,mius
малоорлівка,low-fiber
нікішине,nikishin
чорнухине,blackhead
оорловоіванівка,orlovivanivka
новоорлівка,the newborn
артемове,artemian
іспанська,spanish
 боїнг  mh17,boeing mh17
людмилу лопатишкіну,humani lopatiškina
боїнг mh17,boeing mh17
святошинському райсуді києва,svyatoshinsky district court of kiev
ростова,growth
турчинов олександр валентинович,turchynov alexander valentinovich
грек,greek
індонезійського,indonesian
республіки,republic
обласної ради,regional council
луганської ради,luhansk council
дорога,road
околиці,environs
разом,together
фронт,front
ямполем,yampil
супротивник,enemy
миколаївку,nikolaevka
мозговим,cerebral
армія,army
сторона,side
слов'янськ,slavic
місця,places
танк,tank
крок,step
танки,tanks
шанс,chance
тут,here
ямполя,yampolya
опір,resistance
два,two
люди,people
блок,bloc
підкріплення,support
костянтинівки,kostiantynivka
кінець,end
ігор гіркін-стрєлков,games of horkin-strelkov
озброєння,armament
прокремлівській газеті завтра,the pro-kremlin newspaper tomorrow
молдова,moldova
російського/російськомовного,russian / russian
в. путін,in. putin
єльцинського,yeltsin
ізраїльський,israeli
східних областей україни,eastern regions of ukraine
східну,eastern
федеральним зборам,federal assemblies
берлінського,berlin
академії,academy
киргизія,kirghizia
литви,lithuanians
ф.ван каппен,f.van kappen
литва,lithuania
мажейкяй,mazyakyay
антиамериканської,anti-american
центру у протидії російській пропаганді,center in countering russian propaganda
уельсі,wales
британський,british
будапештського,budapest
центром,the center
соі,soi
східних областях,eastern regions
гш зс рф,gsh zs rf
с.глазьєв,s.glaziev
с.глазьєва,s.glaziev
луганським,lugansk
європу,europe
придністровською молдавською республікою,transnistrian moldavian republic
литві,lithuania
відповідь,answer
м.горбачов,m.gorbachev
м.ван кревельд,m.avan kreveld
теренах снд,ter
мережі інтернет,internet network
герасімова,gerasimova
герасімов,gerasimov
польській,polish
по-російськи,in russian
туркменістаном,turkmenistan
радянського союзу,the soviet union
інформаційний фронт гібридної,information front hybrid
збройних сил нато,nato armed forces
рейк'явіку,rickywick
туркменістані,turkmenistan
кримська,crimean
е.макк,e.makk
карабаського,karabakh
rt,rt
балтії,the baltic
радянських,soviet
європейського,european
варшаву,warsaw
російськомовного,russian-speaking
ярослав,yaroslav
польською,polish
мосесова,moses
пан мосесов,mr. mousseau
25-річний,25 years old
марія погорілко,maria pogorilko
тарас,taras
львівська квартира марії,lviv apartment of the mary
андрія садового,andrew garden
російськомовних,russian-speaking
загонів самооборони,self-defense detachments
богдан солчаник,bogdan solchanik
богдан,bogdan
українського католицького університету,ukrainian catholic university
марія,maria
півдня,half of the day
львів'янка,lvovianka
кур'єрських,courier
богдана,bogdan
обласного управління міліції,the regional police department
європейському,european
служби безпеки україни,ukrainian security service
львова,lions
ігор мосесов,mosse games
австрійські,austrian
будівлю увс,building u.s.
валерій герасімов,valerian gerasimov
україно-російська,ukrainian-russian
україно-російському,ukrainian-russian
латвії,latvia
сходу,eastward
партію регіонів,a party of regions
михайла жизневського,michael of life
віктор мещеряков,victor masheryakov
віктора мещерякова,viktor mascheriak
доплера,doppler
сдц,sdts
головного конструктора трасового радіолокаційного комплексу  утес-т  ліанозівського електромеханічного заводу,the chief designer of the radar tracking complex of the leningrad electromechanical plant
концерн  алмаз-антей ,concern diamond-antey
пан пєсков,mr. peskov
захарова,zaharovaya
радою безпеки нідерландів,security council of the netherlands
ростовом-на-дону,rostov-on-don
марія захарова,maria zaharova
мещерякова,mezheryakova
усть-донецький,ust-donetsky
ігор конашенков,games of konashenkov
російсько-український,russian-ukrainian
пан мещеряков,mr. mezheryakov
fullscreenянукович,fullscreenanukovich
верховній раді україни,supreme council of ukraine
збройним силам україни,armed forces of ukraine
dialog,dialog
мережі,network
малишевським,malyshevsky
малишевський,malyshevsky
управління польотами цивільної авіації,civil aviation flight management
літака - 17,plane - 17
західного кордону росії,the western border of russia
селища сніжне,the village is snowy
нідерландська прокуратура,netherlands prosecutor's office
пан малишевський,mr. malyshevsky
#грушевського:,# grushevskogo:
гвардійського,guards
військово-транспортному,military transport
департаменту спецрозслідувань генпрокуратури,department of special investigations of the general prosecutor's office
телеграм,telegrams
гаррі каміан,harry kamian
відні,bye
місії,missions
постійної ради обсє,permanent for the sake of the company
смм,cm
17-ти,17th
організації,organization
гумконвої,gumkone
смм обсє,smm obsi
села огаково,village ogagovo
юрій бутусов,yurii butusov
ппо,ppo
території донбасу,territory of donbass
зенітно-ракетний комплекс  бук ,anti-aircraft missile complex beech
бутусова,butusova
боїнг-777 малазійських авіаліній,boeing 777 malaysian airlines
турчиновим,turchinovym
головним слідчим управлінням,chief investigating department
віталію захарченку,vitality zaharchenko
віктору пшонці,victor's avatar
генпрокуратурі,general prosecutor's office
київщини,kyiv region
східних областях україни,eastern regions of ukraine
незареєстрованої організації православний донбас д.бойцовим,unregistered organization orthodox donbass d.boytsovym
руху русское единство о.баркашова,the movement of russian unity o.barkshaw
російською стороною,by the russian side
бойцов,fighters
баркашов,ran up
європарламенту гі верховстад,the european parliament
радбезу оон,freebone un
куала лумпура,kuala lumpura
жозе мануел баррозу,jose manuel barroso
барак обама,barak obama
обама,obama
малазійського,malaysian
марк лайалл грант,mark layal grant
малазійським,malaysian
малазійських,malaysian
сергія тарути,sergey tarute
україно-російського кордону,ukrainian-russian border
путінські змі,putin's change
нідерландському,the netherlands
європейська диспетчерська служба eurocontrol,european dispatch service eurocontrol
міжнародна організація цивільної авіації,international civil aviation organization
амстердам-куала лумпур,amsterdam-kuala lumpur
київі,kiev
костянтин батожський,konstantin batozhsky
independent,independent
боїнгу-777,boeing 777
кордону з росією,border with russia
група інформаційний опір,group information resistance
групи інформаційний опір,groups of information resistance
американське,american
аеропорту амстердама,amsterdam airport
дальній схід,far east
малазійський,malaysian
малайзійським,malaysian
донеччиною,the city of donetsk
авдіївка,avdeyivka
охочих,wishing
врадіївського майдану,vadaivskaya square
упц-кп володимира,upt-kp volodymyr
генеральна прокуратура україни,general prosecutor of ukraine
івана качановського,ivan kachanovsky
м. мартиненка,martinenko
гостинному дворі,hospitality yard
інститутську вулицю,institute street
іван качановський,ivan kachanovsky
the snipers massacre,the snipers massacre
кабінету міністрів,cabinet of ministers
міліції особливого призначення беркут,police specially appointed golden eagle
качановському,kachanovsky
канадський,canadian
район урядового кварталу,district government quarter
сил міліції,the police forces
контрактова,contract
аркада,arcade
кабміну,cabinet of ministers
оттавського університету,university of ottawa
ірпені,irpen
бориспільської траси,boryspil highway
києво-святошинського району,kyiv-svyatoshinsky district
київської області,kyiv region
київській області,kiev region
обласної міліції,the regional police
ходосіївка,khodosyivka
вишневе,cherry
крівному,flat
оболоні,shell
білогородка,white girl
чабани,shepherds
удару,strike
київську область,kiev region
русанівці,russians
микола жукович,mykola zhukovich
народної самооборони,people's self-defense
білій церкві,white church
бровари,brewery
жукович,jukovich
крюковщина,hookah
гу мвс україни в київській області,g mvs ukraine in the kiev region
боярка,boyar
музейного перевулку,museum carriage
майданом готелю україна,maidan hotel ukraine
макса вебера,max weber
качановський,kachanovsky
майданівськими,maidan
івану качановському,ivan kachanovsky
музейний,museum
качановського,kachanovsky
сбу альфа,sbu alpha
михайло мартиненко,mykhailo martynenko
динамо-шахтар,dynamo miner
інститутській вулиці,institute's street
кримських,crimean
андрій клименко,andrew klinenko
металобрухт чорнухинське,chernukhin scrap metal
луганський,luhansk
трансмаш,transmash
брянківський,brjankovsky
вторчермет,vtorchermet
луганськтепловоз,luganskteplovoz
заводу маршал,plant marshal
луганський машинобудівний,lugansk machine-building
умвс україни,umwes of ukraine
дебальцеві,debaltsevy
владислава селезньова,vladislav seleznev
соледарську,soledarsky
вулиці інститутської,institutskaya street
європейської площі,european square
творця влучити,creator to hit
марина алдон,marina aldon
красного,red
крут,cool
небесна сотня,hundreds of heavens
тисині,tyys
мамко,mamko
новоазовську,novoazovsky
сватовому,svatovoy
старобельську,old believers
кременному,flaky
донбаського краю,donbas region
сіверськодонецьку,severskodonetsk
луганською,lugansk
прокремлівськими,pro-kremlin
донецькою,donetsk
рубіжному,the borderline
брянці,bryanka
стаханові,stakhanov
ясинуватій,yasinuvatiy
єнакієвому,yanakievo
олександр палій,alexander paly
алчевську,alchevsk
omбр,omr
володимир гринюк,volodymyr grinyuk
дебальцівському,debaltsevsky
дебальцево,debaltsevo
олександр яремчук,oleksandr yaremchuk
донецька обл.),donetsk region)
німеччина,germany
південної осетії,south ossetia
хвиля,wave
ілля пономарьов,ili ponomarev
держдуми рф,state duma rf
печерського районного суду,pechersk district court
оператора мегафон,operator of the megaphone
оператора мобільного зв'язку київстар,mobile operator kyivstar
керівного складу військ південного військового округу,the command of the troops of the southern military district
depo.ua,depo.ua
луценка,lutsenko
присяжнюка,jury
5 канал,channel 5
ківерцівської міської організації волинської області,kivertsi city organization of the volyn region
василь мойсей,you are mysy
мойсей василь михайлович,moses vasily mikhailovich
луцьк,lutsk
17-ій лікарні,17th hospital
луцького,lutsk
волинянин,volynian
буків алмаз-антей,beeches diamond-antey
білокамяна,white stone
всу,bye
медвєдєву,medvedev
багдадський крадій,baghdad steal
міжнародний кримінальний суд,international criminal court
зенітно-ракетного комплексу бук ракетою серії 9м38,the rocket complex of beech rocket series 9m38
комісії тйібба йостра,teibba iostra commissions
комісія радбезу нідерландів,board of directors of the netherlands
обласній держадміністрації,the regional state administration
швейцарію,swiss
кулик,sandpiper
маріупольською трасою,mariupol highway
аеропорту  внуково :,airport grandchildren:
азарова,azarov
козачій бухті,cossack bay
аеропорт харкова,kharkiv airport
донецький ботсад,donetsk botsad
олександр янукович,alexander yanukovych
інформаційному агентству ap,informational agency ap
міста ростов-на-дону,city of rostov-on-don
румунії,romanian
реактивного літака  фалькон ,jet falcon
ростова-на-дону звернення,rostov-on-don treatment
інформагенство ітар-тасс,itar-tats news agency
кобзар,kobzar
австрії,austria
виставковому центрі,exhibition center
president.gov.ua,president.gov.ua
новоросійська,novorossiysk
військової розвідки,military intelligence
майданчик приватного авіатранспорту внуково-3,platform of private air transport grandchildren-3
два ґвинтокрила агуста 139,two winged gooseberries 139
810-ї окремої бригади морської піхоти чф,810th special brigade of marine corps
францію,france
рената ахметова,renata akhmetova
ялті,yalta
тсн.тиждень,tcn week
виставковому центрі ростова-на-дону,the exhibition center of rostov-on-don
71-го гуманітарного конвою,71th humanitarian convoy
71-й  гумконвой  рф,71st gumkonveva rf
міжнародного комітету червоного хреста,international committee of the red cross
харківському аеропорту,kharkiv airport
радослава сікорського,radoslav sikorsky
харківського авіазаводу,kharkiv aircraft plant
центральному аеропорту,central airport
дмитру гордону,dmitry is proud
міжнародному аеропорту фуджейра,international fujairah airport
об'єднаних арабських еміратах,united arab emirates
gordonua.com,gordonua.com
віталія захарченка,vitali zaharchenko
видання апостоф,publication of the apostrophe
стрельченко,strilchenko
кінопалац,kinopalace
урядовому кварталі,government quarter
газети комерсантъ-украина,newspapers merchant-ukraine
апостроф,apostrophe
загону омеги,a detachment of omega
окупований донбас,occupied donbass
окупованій частині донбасу,the occupied part of the donbas
дебальцевському,debaltsevsky
генеральний штаб,general staff
55-ї артилерійської бригади,55th artillery brigade
ігор федірко,games fedirko
иловайску,ilovivsky
кульчицького,kulchytsky
іловайськ,ilove
микола колесник,michael chariot
головнокомандувач,commander-in-chief
25-й мотопіхотний батальйон,25th motorized infantry battalion
дебальцевському плацдармі,debaltsevsky bridgehead
дебальцевська,debaltsevskaya
нацгвардії - батальйон,national guard is a battalion
віктор балога,viktor baloha
юрія бутусова,yuriya butusova
40-го мотопіхотного батальйону 17-ї бригади,40th motorized infantry battalion of the 17th brigade
володимир саричев,volodymyr sarichev
олеся гончара,oles potter
сайт батальйону,site battalion
штаб сектору,headquarters of the sector
блокпосту хрест,checkpoint cross
комбата,the combatant
полковник щербина,colonel shcherbina
40-го батальйону,40th battalion
про-російські,pro-russian
щербина,nick
дебальцевському напрямку,debaltsev direction
бріку,bricks
артемівськ,artemivsk
микола,mykola
дніпроперовському університеті,dnipropetrovsk university
артемівська,artemivsk
радянським,soviet
логвинове,dowry
володимир,volodymyr
віктора коваленка,victor blacksmith
сектор с з україною,the sector with ukraine
ігор іванович щербина,games ivanovich shcherbina
ялти,yalta
рестораном тіфліс,restaurant tiflis
аеропорті внуково,airport is grandchildren
олександром януковичем,alexander yanukovych
el librepensador,el librepensador
реактивного літака фалькон,jet falcon
телеканалу росія,television channel russia
петром порошенком,peter powder
герой україни,hero of ukraine
с. горбатюк,with. hunchback
підрозділів беркут с. кусюк,golden eagle units with. cousin
ради національної безпеки і оборони,for the sake of national security and defense
службу безпеки україни,ukrainian security service
а. клюєв,and. klyuev
владислава суркова,vladislav myrkov
о. попов,at. pops
москаля,moscow
пашинський,pashynsky
шевченко,shevchenko
в. коряк,in. koryak
ради європи,for the sake of europe
садовник,gardener
сергієм кусюком,sergey kusyuk
київських,kiev
ю,u
мдг,mdg
дмитра садовника,dmitry gardener
на грушевського,on the grushevskogo
арсена авакова,arsen avakova
м. тягнирядно,m. pull-row
о. якименко,at. yakimenko
олександр якименко,oleksandr yakimenko
олександра якименко,alexander yakimenko
віталія захарченко,vitali zaharchenko
гвинтівки свд,rifles sund
ігор луценко,igor lutsenko
костельна,catholic
пан аваков,mr. avakov
сам якименко,yakimenko himself
якименко,yakimenko
якименка,yakimenko
автомата,automatic machine
альфи,alpha
віктором зубрицьким,victor zubritsky
убозу,womb
євген жилін,yevgeny zhilin
юрій федько,yuri fedko
пан наливайченко,mr. nalyvaichenko
медіахолдингу контакт,mediaholding contact
міністр аваков,minister of avakov
аеропортах гостомель,airports gostomel
миколу чеботарьова,mykola chebotaryov
фсб росії,fsb russia
бійці альфа,fighters alpha
станіслав рогозін,stanislav rogozin
слідчого комітету росії,investigatory committee of russia
групу альфа,alpha group
харківського оплоту,kharkiv stronghold
автоматами калашникова,kalashnikov's automatic devices
тск,tsk
міліцейські,militia
міжнародна дорадча група,international advisory group
управління громадської безпеки,public safety management
є. антонов,is. antones
віталія яреми,vitali yaremi
рнбоу,rbbo
генеральної прокуратури,general prosecutor's office
сергій пашинський,sergey pashinsky
червоного,red
внутрішніх справ,internal affairs
гумвс україни в києві,gumbs of ukraine in kiev
шокін,shock
о. мариненко,at. marinenko
печерський районний суд,pechersk district court
газеті дзеркало,newspaper mirror
спецпідрозділу сбу альфа,special unit sbu alpha
печерський районний суд м. києва,pechersk district court of kyiv
автомата калашникова,kalashnikov automatic machine
телеканалі росія 1,television channel russia 1
о. донський,at. don
андрія парубія,andriy's parry
москаль,muscovite
вікторі януковичі,yanukovych's quiz
в. сівкович,in. sivkovich
п. федчук,p. fedchuk
нацбанку україни,national bank of ukraine
європейського суду з прав людини,european court of human rights
дмитро садовник,dmitry gardener
д.,d.
жуляни,cheeses
будівлі за адресою хрещатик,buildings at the address khreshchatyk
сімферополь,simferopol
геннадій москаль,hennady moskal
а. дидюк,and. dyjuk
zloy-odessit,zloy-odessit
горлівку,throat
дебальцевські,debaltsevsky
новоросії,novorossiysk
дмитра тимчука,dmitry tchaikovka
кримською,crimean
авдіївки,avdeevki
волноваха,wave wave
128-ї бригади,128th brigade
zloy-odessit.livejournal.com,zloy-odessit.livejournal.com
карті ато,map of ato
геннадія шульги,gennady shulga
ігоря романенка,igor of the novel
дебальцевський плацдарм,debaltsevsky bridgehead
рада безпеки і оборони,security council and defense
геннадій шульга,hennady shulga
іловайського,iliwian
ігор романенко,games romanenko
торезом,knife
первомайський район,pervomaisk district
літак mh17,plane mh17
twitter-акаунті stop fake,twitter account stop fake
пасажирський літак boeing-777,passenger plane boeing-777
компанії  malaysia airlines,malaysia airlines
зенітно-ракетної бригади,anti-aircraft missile crew
ілля яшин,ice yachts
петра порошенка,petra powder
нємцова,nemtsov
яшин,yashin
рассказал,told me
россии,russia
украины,ukraine
ірландії,ireland
російській стороні,to the russian side
північній ірландії,northern ireland
путіним,putin
північна ірландія,northern ireland
лідера,the leader
ніколаєнко,nikolaenko
словянськ,slavic
кримським,the crimean
донецька народна республіка,donetsk people's republic
північно-ірландський,northern irish
керівника,supervisor
пан клімкін,mr climkin
андрій ніколаєнко,andrew nikolaenko
євросоюзу,european union
міністерство закордонних справ польщі,ministry of foreign affairs of poland
кетрін ештон,catherine ashton
вільям хейг,lol yeah
пан турчинов,mr. turchinov
польських,polish
марти галкіної,march of galician
зіновій срібняк,old silver sack
іваном красійчуком,ivan krasiychuk
пологового будинку,maternity home
володимир леонідович,volodymyr leonidovich
калуського пологового будинку,kalush maternity hospital
наталія кінаш,natalia kinash
міської ради,city council
штурм українського дому,assault on the ukrainian home
хвалковський,hvalkovsky
василь лукач,basil lukach
ігоря дмитріва,igor dmitryv
київські,kiev
црл,srl
калуської црл,kalush capital
степан якимів,stepan of some kind
ігор москалик,games musical
вулиці басейній,the streets of the pool
парламентській бібліотеці,parliamentary library
комітету опору диктатурі,board resistance dictatorship
орест григорів,org of the gregorians
португальського,portuguese
ярослав кінаш,yaroslav kinash
прорізній,cutaway
калуської міської ради,kaluga city council
ігор дубас,playing dubas
ігорем москаликом,igor moskalik
калуської центральної районної лікарні,kaluga central district hospital
володимир кіндрат,volodymyr konridat
іван красійчук,ivan krasiychuk
ігор тарасович москалик,games tarasovich moskalik
дмитро жабровець,dmitry griffon
бандура тарас,bandura taras
юрій андріїв,yuri andreev
микола тимків,mycola tomki
калуш,kalush
калуські,kalush
яців володимир,yats volodymyr
тарас бандура,taras bandura
гюзель насалик,gyuzel nasalik
німеччиною,germany
богомолець,hermit
готель україна,hotel ukraine
самооборона майдану,self-defense of the maidan
юрій сиротюк,yuri syrotyuk
генерального штабу зсу,the general headquarters of the shift
луганка,lugansk
сектору,the sector
спецпризначення світязь,special purpose zeytys
днр сили ато,dnr forces are ato
градами,hailstones
логвиновому,dowry
рідкодуб,ruddy pitcher
ракетно-артилерійського,rocket-artillery
дебальцівського,debaltsevsky
міністерства оборони україни,ministry of defense of ukraine
патрульної поліції,patrol police
генштабі зсу,general staff shift
95-ї десантних бригад і нацгвардії,95th airborne brigade and national guard
село логвинове,the village is a log wall
30-ї бригади замінувала,the 30th brigade replaced
95-ї аеромобільної бригади,95th airmobile brigade
мар'їнці,mariners
костянтин машовець,kostiantyn masovets
30-ї бригади,30th brigade
нацгвардії імені кульчицького,national guard named kulchytsky
олександр фацевич,oleksandr fatsevich
юрій бірюков,yury biryukov
широкиному,wide
олександра сирського,alexandra of syriac
мінська-2,minsk-2
олександр сирський,aleksandr syrskii
дебальцівського плацдарму,debaltsev bridgehead
40-го мотопіхотного батальйону,40th motorized infantry battalion
семен семенченко,seed semenchenko
батальйону донбас,donbass battalion
луганську область,luhansk region
вуглегірськ,oglegirsk
батальйонів міліції,battalions of militia
дебальцівський,debaltsevsky
артилерійського підрозділу,artillery unit
зуївська,zuyevsky
тов углеснаб,is coal gas
гуково красна могила,gully red grave
алчевський металургійний комбінат,alchevsk iron and steel works
метінвест,metinvest
луганськом,lugansk
ростовська область,rostov region
республіка,republic
дмз,dm
платово,paid
андрія сенченка,andrew seneca
ростовської,rostov
народної ради днр,people's council of the dni
армліт-донбас,armlit-donbas
південнодонбаська оленівка,southern-donbass deer
ахметову,akhmetov
південного федерального округу,southern federal district
дтек ахметова,akkhetov's case
донецьксталі,donetsk steel
республіці,the republic
бердянську,berdyansk
вугільної галузі днр і лнр,coal industry dnr and lnr
шахту покровська,pokrovsky mine
постачання,supply
пенсійного фонду лнр,pension fund lnr
шахти,the mines
костянтином файманом,constantine fayman
південна осетія,south ossetia
скм,sms
федір цимбалов,fyodor the cymbals
скм ахметова найбільший,shem akhmetov is the largest
мвк,mv
северсталь,severstal
макіївці,makeevka
східній європі,eastern europe
готелю схід,hotel east
самопроголошені республіки,self-proclaimed republics
андрій карпак,andrew carpak
борис рожин,boris rozhin
торгової мережі атб,trading network acc
олексія мордашова,alexey mordashov
кривого рогу,curved horn
успенська квашино,assumption kushino
василь ткачук,vasil weaver
сомалі,somalia
росії республіка,russia republic
міненерго,minenergo
ясинувата,yasinovata
харцизький,khartsyzsky
брусничка,cranberries
олега мкртчана,oleg mkrtchana
країна,country
андрія шабанова,andriy shabanov
вулицях донецька,the streets of donetsk
партії блок,party block
венесуелою,venezuela
метінвест ахметова,metinvest akhmetov
анна дудка,anna dudka
євген черненко,yevgeny chernenko
ріната ахметова,rinat akhmetov
володимира фесенка,volodymyr fesenko
наталія королевська,natalia royal
комсомольская правда,komsomol truth
вадима карасьова,vadim karasov
петро олещук,petro oleschuk
обвал,collapse
служба моніторингу ввс,monitoring service
володимир василенко,volodymyr vasilenko
тимчука,timid
королевську,royal
василенка,vasilenko
миколою томенком,mykola tomenko
черненка,draft
украине,in ukraine
микита сініцин,mikita hinitsin
днр  і  лнр,dnr and lnr
галини суліної,galina sulina
дмитро лямін,dmitry lyamin
російського інституту стратегічних досліджень,russian institute for strategic studies
донецький металургійний завод,donetsk metallurgical plant
національному банку південної осетії,national bank of south ossetia
республіка визнана росією,the republic is recognized by russia
нацбанк південної осетії,national bank of south ossetia
міжвідомчої комісії з надання гуманітарної,interdepartmental humanitarian commission
олексій міллер,alex miller
єнакіївський,yenakievsky
риси,traits
банку москви,moscow bank
центробанку днр,central bank dnr
зареєстрована компанія экспортуголь,registered company exportgol
націоналізації днр,nationalization of the dni
старобешівська тес,starobeshevsky tes
галина суліна,galina sulin
інтер рао,interrao
комісії назарова,commission of nazarov
азово-чорноморського басейну,azov-black sea basin
холдинг донецьксталь,donetskstal holding
шахтах,mines
харцизька,khartsyzskaya
авдіївський коксохімічний,avtodievsky coke-chemical
сергій назаров,sergey nazarov
ростовському,rostov
нусенкісу,nusenkys
нусенкіса,nusenkis
станції прохорівка,station prohorovka
фонду енергетичних стратегій,fund of energy strategies
газпром,gazprom
газпрому,gazprom
назаровим,nazarovym
мінфіну днр,ministry of finance dni
митної служби лнр,customs service lnr
війна,war
олексій вагутович,alexey vagutovich
бориса,boris
російської залізниці,russian railway
мінпраці,ministry of labor
силур,silurian
індустріальний союз донбасу,industrial union of donbas
пропускних пунктах гуково і,checkpoints and
юха сіпіля,yoke of silk
телеканал rtl nieuws,tv channel rtl nieuws
голландський,dutch
європейська правда,european truth
матті ванханен,matte vanhanen
комісії у закордонних справах,foreign affairs committees
міжнародна група по розслідуванню,international investigation team
ракетною установкою  бук .,rocket launcher.
місті гуково,the city is loud
нємцова путін,niemtsov putin
дмитро мурашев,dmitry murashev
євген майнулов,yevgen maynulov
сергія вельмицького,sergey velmitsky
фінансово-банківської системи днр-лнр,financial and banking system dnr-lnr
